id,description,type
basisOfRecord,"Basis of record, as defined in our BasisOfRecord enum",fields
catalogNumber,"An identifier of any form assigned by the source within a physical collection or digital dataset for the record which may not be unique, but should be fairly unique in combination with the institution and collection code.",fields
classKey,Class classification key.,fields
collectionCode,An identifier of any form assigned by the source to identify the physical collection or digital dataset uniquely within the context of an institution.,fields
continent,"Continent, as defined in our Continent enum",fields
coordinateUncertaintyInMeters,The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Supports range queries.,fields
country,The 2-letter country code (as per ISO-3166-1) of the country in which the occurrence was recorded.,fields
crawlId,Crawl attempt that harvested this record.,fields
datasetId,The ID of the dataset.,fields
datasetKey,The occurrence dataset key (a uuid).,fields
datasetName,The name of the dataset.,fields
decimalLatitude,Latitude in decimals between -90 and 90 based on WGS 84. Supports range queries.,fields
decimalLongitude,Longitude in decimals between -180 and 180 based on WGS 84. Supports range queries.,fields
depth,Depth in meters relative to altitude. For example 10 meters below a lake surface with given altitude. Supports range queries.,fields
elevation,Elevation (altitude) in meters above sea level. Supports range queries.,fields
establishmentMeans,"EstablishmentMeans, as defined in our EstablishmentMeans enum",fields
eventDate,"Occurrence date in ISO 8601 format: yyyy, yyyy-MM, yyyy-MM-dd, or MM-dd. Supports range queries.",fields
eventId,An identifier for the information associated with a sampling event.,fields
familyKey,Family classification key.,fields
fromDate,"Start partial date of a date range, accepts the format yyyy-MM, for example: 2015-11",fields
gadmGid,"A GADM geographic identifier at any level, for example AGO, AGO.1_1, AGO.1.1_1 or AGO.1.1.1_1",fields
gadmLevel,"A GADM  region level, valid values range from 0 to 3",fields
gadmLevel0Gid,"A GADM geographic identifier at the zero level, for example AGO",fields
gadmLevel1Gid,"A GADM geographic identifier at the first level, for example AGO.1_1",fields
gadmLevel2Gid,"A GADM geographic identifier at the second level, for example AFG.1.1_1",fields
gadmLevel3Gid,"A GADM geographic identifier at the third level, for example AFG.1.1.1_1",fields
genusKey,Genus classification key.,fields
geoDistance,"Filters to match occurrence records with coordinate values within a specified distance of a coordinate, it supports units: in (inch), yd (yards), ft (feet), km (kilometers), mmi (nautical miles), mm (millimeters), cm centimeters, mi (miles), m (meters), for example /occurrence/search?geoDistance=90,100,5km",fields
