atlas,system,api_name,type,api_url,called_by,functional
Australia,records,records_occurrences,data/occurrences,https://biocache-ws.ala.org.au/ws/occurrences/offline/download,atlas_occurrences,TRUE
Australia,records,records_counts,data/occurrences-count,https://biocache-ws.ala.org.au/ws/occurrences/search,atlas_counts,TRUE
Australia,records,records_facets,data/occurrences-count-groupby,https://biocache-ws.ala.org.au/ws/occurrences/facets,atlas_counts,TRUE
Australia,doi,doi_download,data/occurrences-doi,https://api.ala.org.au/doi/api/doi/{doi_string}/download,doi_download,TRUE
Australia,records,records_species,data/species,https://biocache-ws.ala.org.au/ws/occurrences/facets/download,atlas_species,TRUE
Australia,records,records_species,data/species-count,https://biocache-ws.ala.org.au/ws/occurrences/facets,atlas_counts,TRUE
Australia,images,image_download,files/media-original,https://api.ala.org.au/images/ws/image/{id}/original,atlas_media,TRUE
Australia,records,records_assertions,metadata/assertions,https://biocache-ws.ala.org.au/ws/assertions/codes,show_all-assertions,TRUE
Australia,collections,collections_collections,metadata/collections,https://api.ala.org.au/metadata/ws/collection,show_all-collections,TRUE
Australia,collections,collections_datasets,metadata/datasets,https://api.ala.org.au/metadata/ws/dataResource,show_all-datasets,TRUE
Australia,records,records_fields,metadata/fields,https://biocache-ws.ala.org.au/ws/index/fields,show_all-fields,TRUE
Australia,records,records_facets,metadata/fields-unnest,https://biocache-ws.ala.org.au/ws/occurrences/facets,show_values-fields,TRUE
Australia,name-matching,names_lookup,metadata/identifiers,https://api.ala.org.au/namematching/api/getByTaxonID,search_identifiers,TRUE
Australia,images,image_licences,metadata/licences,https://api.ala.org.au/images/ws/licence,show_all-licences,TRUE
Australia,lists,lists_all,metadata/lists,https://api.ala.org.au/specieslist/ws/speciesList,show_all-lists,TRUE
Australia,lists,lists_lookup,metadata/lists-unnest,https://api.ala.org.au/specieslist/ws/speciesListItems/{list_id},show_values-lists,TRUE
Australia,images,image_metadata,metadata/media,https://api.ala.org.au/images/ws/getImageInfoForIdList,atlas_media,TRUE
Australia,data-quality,profiles_all,metadata/profiles,https://api.ala.org.au/dqf-service/api/v1/data-profiles?enabled=true,show_all-profiles,TRUE
Australia,data-quality,profiles_lookup,metadata/profiles-unnest,https://api.ala.org.au/dqf-service/api/v1/data-profiles/{profile},show_values-profiles,TRUE
Australia,collections,collections_providers,metadata/providers,https://api.ala.org.au/metadata/ws/dataProvider,show_all-providers,TRUE
Australia,logger,logger_reasons,metadata/reasons,https://api.ala.org.au/logger/service/logger/reasons,show_all-reasons,TRUE
Australia,name-matching,names_search_multiple,metadata/taxa-multiple,https://api.ala.org.au/namematching/api/searchByClassification,search_taxa,TRUE
Australia,name-matching,names_search_single,metadata/taxa-single,https://api.ala.org.au/namematching/api/search?q={name},search_taxa,TRUE
Australia,species,species_children,metadata/taxa-unnest,https://api.ala.org.au/species/childConcepts/{id},atlas_taxonomy,TRUE
Austria,images,image_metadata,data/media,https://images.biodiversityatlas.at/ws/image/,media_metadata,FALSE
Austria,records,records_occurrences,data/occurrences,https://biocache-ws.biodiversityatlas.at/occurrences/offline/download,atlas_occurrences,TRUE
Austria,records,records_counts,data/occurrences-count,https://biocache-ws.biodiversityatlas.at/occurrences/search,atlas_counts,TRUE
Austria,records,records_facets,data/occurrences-count-groupby,https://biocache-ws.biodiversityatlas.at/occurrence/facets,atlas_counts,TRUE
Austria,records,records_species,data/species,https://biocache-ws.biodiversityatlas.at/occurrences/facets/download,atlas_species,TRUE
Austria,records,records_facets,data/species-count,https://biocache-ws.biodiversityatlas.at/occurrence/facets,atlas_counts,TRUE
Austria,records,records_assertions,metadata/assertions,https://biocache-ws.biodiversityatlas.at/assertions/codes,show_all-assertions,TRUE
Austria,collections,collections_collections,metadata/collections,https://collectory.biodiversityatlas.at/ws/collection,show_all-collections,TRUE
Austria,collections,collections_datasets,metadata/datasets,https://collectory.biodiversityatlas.at/ws/dataResource,show_all-datasets,TRUE
Austria,records,records_fields,metadata/fields,https://biocache-ws.biodiversityatlas.at/index/fields,show_all-fields,TRUE
Austria,records,records_facets,metadata/fields-unnest,https://biocache-ws.biodiversityatlas.at/occurrence/facets,show_values-fields,TRUE
Austria,images,image_licences,metadata/licences,https://images.biodiversityatlas.at/ws/licence,show_all-licences,TRUE
Austria,lists,lists_all,metadata/lists,https://lists.biodiversityatlas.at/ws/speciesList/,show_all-lists,TRUE
Austria,lists,lists_lookup,metadata/lists-unnest,https://lists.biodiversityatlas.at/ws/speciesListItems/{list_id},show_values-lists,TRUE
Austria,collections,collections_providers,metadata/providers,https://collectory.biodiversityatlas.at/ws/dataProvider,show_all-providers,TRUE
Austria,logger,logger_reasons,metadata/reasons,https://logger.biodiversityatlas.at/service/logger/reasons,show_all-reasons,TRUE
Austria,species,names_search_single,metadata/taxa-single,https://bie-ws.biodiversityatlas.at/search?q={name}&pageSize=5,search_taxa,TRUE
Austria,species,species_children,metadata/taxa-unnest,https://bie-ws.biodiversityatlas.at/childConcepts/{id},atlas_taxonomy,TRUE
