"region","institution","count","n_services"
"Global","Global Biodiversity Information Facility",2457308452,11
"United Kingdom","National Biodiversity Network",298318126,19
"Sweden","Swedish Biodiversity Data Infrastructure",153805087,23
"France","Portail français d'accès aux données d'observation sur les espèces",153402324,14
"Australia","Atlas of Living Australia",146132636,24
"Spain","GBIF Spain",59673279,24
"Brazil","Sistemas de Informações sobre a Biodiversidade Brasileira",36509671,18
"Portugal","GBIF Portugal",16043865,15
"Austria","Biodiversitäts-Atlas Österreich",9173597,19
"Guatemala","Sistema Nacional de Información sobre Diversidad Biológica de Guatemala",4225159,16
